Designator,Mid X,Mid Y,Rotation,Layer
C10,148.93,-103.6,0.0,top
C11,130.31,-103.58,0.0,top
C12,114.57,-109.31,0.0,top
C3,144.81,-86.6225,270.0,top
C4,149.43,-86.6225,270.0,top
C5,147.9,-86.6225,270.0,top
C6,146.34,-86.6225,270.0,top
C7,152.20625,-83.63375,180.0,top
C8,152.21625,-85.14375,180.0,top
C9,165.2875,-103.53,0.0,top
J1,169.33,-113.62,0.0,top
J2,151.766667,-113.62,0.0,top
J3,134.203333,-113.62,0.0,top
J5,177.02,-86.67,90.0,top
J7,118.8,-115.475,0.0,top
R3,171.505,-89.3675,270.0,top
R4,171.025,-83.96,90.0,top
R5,116.95,-108.5,90.0,top
R6,121.42,-109.81,0.0,top
U1,148.22,-93.71,0.0,top
